mnemonic,percent_1parent
E05014276,4.1
E05014282,2.5
E05014283,3.9
E05014285,1.9
E05014295,2.9
E05014298,6.2
E05014299,8.7
E05014310,3.7
E05014322,5.4
E05014325,5.4
E05014327,4.8
E05014257,8.1
E05014258,3.9
E05014259,3.6
E05014267,4
E05014273,7.8
E05014278,6.1
E05014279,5.9
E05014286,6.8
E05014288,7.4
E05014289,4
E05014292,3.3
E05014302,4.1
E05014304,3.7
E05014305,3.3
E05014308,6.8
E05014309,6.1
E05014323,4.1
E05014324,4.2
E05014331,3.8
E05014332,2.9
E05014333,4.1
E05014263,6.2
E05014280,10.4
E05014290,2.8
E05014297,3.7
E05014307,5.5
E05014312,4.4
E05014330,2.5
E05014252,2.7
E05014281,3.4
E05014287,4
E05014291,5.7
E05014300,5.5
E05014306,4.5
E05014318,3.4
E05014328,3.5
E05R14284,5.7
E05014262,9.1
E05014265,3.1
E05014268,3.6
E05014269,3.8
E05014271,14.2
E05014272,2.9
E05014274,7.6
E05014275,5.1
E05014296,5
E05014301,7.4
E05014311,3.5
E05014313,5.1
E05014334,3.5
E05014336,7.6
E05014337,4.3
E05014338,9.5
E05S14284,4.1
E05014253,4.8
E05014254,5.1
E05014260,5.1
E05014261,4.9
E05014264,3.5
E05014266,4.6
E05014293,5.8
E05014303,5.4
E05014314,10.6
E05014315,6.6
E05014317,6.5
E05014326,4.3
E05014329,5.1
E05000976,6.7
E05000977,9.6
E05000978,8.5
E05000979,6.4
E05000980,5.6
E05000981,11.2
E05000982,8.7
E05000983,5
E05000984,7.5
E05000985,9
E05000986,8.9
E05000987,8.1
E05000988,7
E05000989,3.1
E05000990,5.5
E05000991,7
E05000992,8.5
E05000993,11.5
E05000994,8.5
E05000995,8.4
E05000996,8.9
E05010728,10.5
E05010729,6.5
E05010730,8.9
E05010731,10
E05010732,6
E05010733,9.2
E05010734,6.5
E05010735,8.7
E05010736,5.3
E05010737,7.3
E05010738,9.7
E05010739,10.4
E05010740,7.9
E05010741,7.1
E05010742,7.2
E05010743,4
E05010744,9
E05010745,8.8
E05010746,5
E05010747,6.6
E05010748,9.3
E05012993,5.2
E05012994,4.9
E05012995,7.4
E05012996,7.1
E05012997,4.6
E05012998,5.9
E05012999,11.1
E05013000,8.1
E05013001,6.9
E05013002,5.1
E05013003,8.2
E05013004,8.3
E05013005,7
E05013006,11.3
E05013007,10
E05013008,7.9
E05013009,7.4
E05013010,10.7
E05013011,8.6
E05013012,3.8
E05013013,7.4
E05013014,7
E05013015,6.3
E05013016,9.2
E05013017,7.7
E05010857,9.3
E05010858,5.7
E05010859,7.4
E05010860,3
E05010861,10.3
E05010862,1.7
E05010863,3.4
E05010864,8.7
E05010865,4
E05010866,4.7
E05010867,3.4
E05010868,13.4
E05010869,3.3
E05010870,10.7
E05010871,4.7
E05010872,6.2
E05010873,13.1
E05010874,6
E05010875,4.2
E05010876,10.4
E05010877,8.5
E05010878,11.6
E05010879,12.4
E05010880,4.9
E05010881,5.9
E05010882,4.8
E05010883,5.9
E05010884,7.8
E05001341,5.7
E05001342,5.7
E05001343,6.9
E05001344,9.6
E05001345,11.6
E05001346,9.5
E05001347,7.4
E05001348,11.5
E05001349,4.7
E05001350,13.9
E05001351,11.1
E05001352,10.6
E05001353,7
E05001354,3.8
E05001355,7.5
E05001356,8.5
E05001357,11.6
E05001358,14.5
E05001359,8.2
E05001360,8.6
E05001361,12.3
E05001362,6
E05001363,10.1
E05001364,8.6
E05001365,14.6
E05001366,4
E05001367,10.5
E05001368,10.1
E05001369,5.6
E05001370,8.4
E05001371,7.2
E05001372,6.2
E05001373,9.1
E05001374,7.2
E05001375,6.8
E05001376,11.2
E05001377,6.8
E05001378,5.2
E05001379,14.6
E05001380,10.3
E05001381,7.2
E05001382,7
E05001383,6.8
E05001384,7.6
E05001385,8.8
E05001386,8.2
E05001387,10
E05001389,11.4
E05001390,6.4
E05001391,8.2
E05001392,7.5
E05001393,7.3
E05001396,9.9
E05001397,5.2
E05001398,8.3
E05001399,7.4
E05001400,10.1
E05001401,8.4
E05001402,6.9
E05001403,6.9
E05001405,5.5
E05001407,6.9
E05001408,8.8
E05001409,6.1
E05001410,7.5
E05008558,8
E05008559,6.6
E05008560,8.8
E05008561,6.1
E05008562,5.1
E05011384,7.1
E05011385,10.4
E05011387,10.8
E05011388,13.7
E05011389,5.5
E05011390,7.6
E05011391,8.6
E05011394,12.7
E05011395,5.5
E05011396,3.2
E05011397,2.4
E05011399,8.1
E05011400,12.5
E05011401,6.9
E05011402,7
E05011403,5.3
E05011404,14
E05011405,4.8
E05011406,6
E05011407,7
E05011409,7.1
E05011410,6.6
E05011411,5.8
E05011413,5.4
E05011414,4.3
E05011547,5.5
E05011549,5.7
E05012647,9.6
E05012648,9.5
E05012841,4.1
E05012842,6.3
E05013830,5.3
E05013831,9
E05001444,6.3
E05001445,10.2
E05001446,6.8
E05001447,7.3
E05001448,6.3
E05001449,8.4
E05001450,8.1
E05001451,6.5
E05001452,8.7
E05001453,8.1
E05001454,6.8
E05001455,7.1
E05001456,7.5
E05001457,8.8
E05001458,5.9
E05001459,7.2
E05001460,6.4
E05001461,5.4
E05001462,6.4
E05001463,8.4
E05001464,6.3
E05001767,7.9
E05001768,3.2
E05001769,9.5
E05001770,6.7
E05001771,6.4
E05001772,8.6
E05001773,7.4
E05001774,6.8
E05001775,5
E05001776,11.4
E05001777,6.3
E05001778,9.3
E05001779,4.7
E05001780,9.3
E05001781,5.8
E05001782,11.5
E05001783,6
E05010458,9
E05010459,9.2
E05010460,10.8
E05010461,4
E05010462,11
