mnemonic,percent_crowded
E05012995,2.2
E05012996,8.3
E05012997,1.6
E05012998,2.3
E05012999,5
E05013000,2.5
E05013001,3.2
E05013002,1.3
E05013003,2.5
E05013004,3.6
E05013005,2.2
E05013006,3.8
E05013007,3.2
E05013008,2.4
E05013009,2.5
E05013010,10.2
E05013011,6.6
E05013012,2.1
E05013013,2.4
E05013014,1.7
E05013015,2.1
E05013016,3.8
E05013017,1.7
E05010857,4.9
E05010858,2.9
E05010859,4.6
E05010860,12.7
E05010861,14.3
E05010862,18.8
E05010863,4.4
E05010864,13.4
E05010865,1.5
E05010866,2.4
E05010867,1.6
E05010868,9.1
E05010869,2.4
E05010870,6.2
E05010871,2.1
E05010872,2.7
E05010873,8.1
E05010874,3
E05010875,9.4
E05010876,6.8
E05010877,5.4
E05010878,7.1
E05010879,7.1
E05010880,2.5
E05010881,2.7
E05010882,8.1
E05010883,2.4
E05010884,4.2
E05001341,2.5
E05001342,3
E05001343,2.7
E05001344,8.1
E05001345,13.7
E05001346,19.5
E05001347,22
E05001348,7.4
E05001349,2.4
E05001350,6.4
E05001351,12.3
E05001352,12.2
E05001353,3.1
E05001354,2.8
E05001355,15
E05001356,5.4
E05001357,4.4
E05001358,21
E05001359,23.9
E05001360,4.8
E05001361,6.2
E05001362,4.4
E05001363,6.5
E05001364,20.3
E05001365,7.7
E05001366,1.6
E05001367,6.3
E05001368,5.9
E05001369,2.5
E05001370,4.8
E05001371,4.5
E05001372,3.6
E05001373,4.9
E05001374,3.2
E05001375,2.5
E05001376,5.3
E05001377,3.2
E05001378,2
E05001379,4.5
E05001380,17.4
E05001381,3.9
E05001382,3.5
E05001383,4.7
E05001384,3.9
E05001385,4.4
E05001386,5.3
E05001387,7.6
E05001389,8.3
E05001390,15.9
E05001391,9.8
E05001392,4.3
E05001393,4.1
E05001396,6.5
E05001397,2.8
E05001398,7.9
E05001399,12.9
E05001400,17.2
E05001401,5.4
E05001402,9.6
E05001403,8.3
E05001405,2.5
E05001407,3.8
E05001408,4.5
E05001409,2.6
E05001410,10.4
E05008558,4.1
E05008559,3.9
E05008560,11.5
E05008561,2.7
E05008562,2.4
E05011384,3.5
E05011385,9.1
E05011387,6.7
E05011388,15.8
E05011389,3.4
E05011390,7
E05011391,4.4
E05011394,17.4
E05011395,2.7
E05011396,1.3
E05011397,18.9
E05011399,13.8
E05011400,7.9
E05011401,3.5
E05011402,8.7
E05011403,19
E05011404,8.2
E05011405,3.1
E05011406,3.1
E05011407,4.6
E05011409,3.9
E05011410,3.2
E05011411,4.8
E05011413,5.4
E05011414,1.9
E05011547,2.5
E05011549,3.2
E05012647,13.2
E05012648,5
E05012841,2.1
E05012842,4.5
E05013830,2.2
E05013831,4.7
E05001444,1.8
E05001445,4.9
E05001446,3.1
E05001447,2.6
E05001448,2.5
E05001449,4
E05001450,3
E05001451,2.8
E05001452,3.7
E05001453,4.2
E05001454,3.2
E05001455,3.1
E05001456,2.8
E05001457,2.9
E05001458,2.5
E05001459,9.2
E05001460,7.8
E05001461,2
E05001462,5.1
E05001463,5.2
E05001464,2.7
E05001767,6.8
E05001768,1.4
E05001769,5.1
E05001770,13.6
E05001771,4.4
E05001772,5.3
E05001773,3.3
E05001774,2.9
E05001775,5.3
E05001776,6
E05001777,3
E05001778,4.9
E05001779,1.6
E05001780,14.6
E05001781,2.6
E05001782,10.7
E05001783,2.5
E05010458,9.9
E05010459,5
