mnemonic,percent_fuel
E05011532,1.5
E05011533,1.4
E05011534,0.6
E05011535,1.7
E05011536,1.7
E05011537,2
E05011538,1.1
E05011539,2.1
E05011540,1.6
E05011541,3
E05011542,1.9
E05011543,1.4
E05011544,2
E05011545,1.5
E05001687,20.2
E05001688,4.2
E05001689,3.3
E05001690,3
E05001691,2.3
E05001692,1.6
E05001693,5.9
E05001694,6.6
E05001695,20.3
E05001696,2.1
E05001697,3.1
E05001698,1.7
E05001699,4.7
E05001700,20.8
E05001701,14.1
E05001702,2.7
E05001703,6.9
E05001704,7
E05001705,1.7
E05001706,15
E05001707,9
E05001708,1.9
E05001709,3
E05001710,1.5
E05001711,1.5
E05001712,27.2
E05001713,1.8
E05001714,2.8
E05001715,1.3
E05001716,0.8
E05001717,2.4
E05001718,1.3
E05001719,3
E05001720,1.8
E05001721,1
E05001722,2.7
E05001723,1.8
E05001724,3.2
E05001725,3
E05001726,8.5
E05001727,1.6
E05001728,1.2
E05001729,7.3
E05001730,28.2
E05001731,15.8
E05001732,2.2
E05001733,1.4
E05001734,6.4
E05001735,8
E05001736,1.5
E05001737,3.5
E05001738,10.1
E05001739,1.7
E05001740,12.9
E05001741,1.5
E05001742,1.2
E05001743,8.3
E05001744,2.2
E05010311,1.2
E05010312,3
E05010313,1.4
E05010314,2.6
E05010315,1.3
E05010316,2
E05010317,1.6
E05010318,2.5
E05010319,2
E05010320,1.5
E05010321,1.9
E05010322,2.2
E05010323,2.1
E05010324,1.3
E05010325,1.9
E05010326,3.6
E05010327,1.2
E05010328,9
E05010329,3.4
E05010330,1.6
E05010331,17.5
E05014250,12.2
E05014256,20.8
E05014277,4.1
E05014294,13.1
E05014316,15
E05014319,3.3
E05014320,2.4
E05014321,7.4
E05014335,29.9
E05014251,20.3
E05014255,28.4
E05014270,15.4
E05014276,13.9
E05014282,58.1
E05014283,34.6
E05014285,44
E05014295,52.8
E05014298,6.4
E05014299,3.4
E05014310,5.7
E05014322,11.1
E05014325,14.9
E05014327,9.7
E05014257,2
E05014258,2
E05014259,13.6
E05014267,2.3
E05014273,2.3
E05014278,2.2
E05014279,2.1
E05014286,2.9
E05014288,2.4
E05014289,2.8
E05014292,36.9
E05014302,2.5
E05014304,50.5
E05014305,21
E05014308,1.9
E05014309,2
E05014323,17.7
E05014324,2
E05014331,2.5
E05014332,36.9
E05014333,23.9
E05014263,15.1
E05014280,5.7
E05014290,32.3
E05014297,44
E05014307,4.7
E05014312,33
E05014330,55.8
E05014252,51.8
E05014281,28.8
E05014287,22.5
E05014291,5.1
E05014300,4.2
E05014306,5.7
E05014318,52.5
E05014328,42.9
E05R14284,48.4
E05014262,3.3
E05014265,3.6
E05014268,36.6
E05014269,16.7
E05014271,1.9
E05014272,25.8
E05014274,2.2
E05014275,4.7
E05014296,1.6
E05014301,2.9
E05014311,5.2
E05014313,3.7
E05014334,3.6
E05014336,3.8
E05014337,2.5
E05014338,1.7
E05S14284,17.2
E05014253,27.1
E05014254,5.9
E05014260,10.2
E05014261,19.7
E05014264,55.7
E05014266,28.9
E05014293,6.9
E05014303,25.3
E05014314,4.4
E05014315,4.1
E05014317,3.5
E05014326,4.6
E05014329,8
E05000976,2.2
E05000977,2.1
E05000978,2.3
E05000979,1.7
E05000980,1.6
E05000981,2
E05000982,2.9
E05000983,1.2
E05000984,2
E05000985,1.6
E05000986,1.9
E05000987,2.3
E05000988,1.2
E05000989,9.7
E05000990,4.8
E05000991,1.9
E05000992,2
E05000993,2.5
E05000994,1.4
E05000995,1.6
E05000996,1.8
E05010728,1.6
E05010729,1.4
E05010730,1.1
E05010731,1.8
E05010732,0.8
E05010733,2.3
E05010734,1.2
E05010735,1.2
E05010736,1.3
E05010737,3
E05010738,2
E05010739,2.7
E05010740,8.2
E05010741,1.7
E05010742,1.9
E05010743,7.7
E05010744,2.9
E05010745,2.3
E05010746,4.7
E05010747,2.4
E05010748,1.3
E05012993,3.3
E05012994,1.1
E05012995,1.9
E05012996,1.5
E05012997,1.3
E05012998,1.4
E05012999,1.5
E05013000,4.5
E05013001,0.9
E05013002,0.9
E05013003,2.7
E05013004,1.3
E05013005,1.2
E05013006,2.9
E05013007,1.6
E05013008,1.8
E05013009,1.2
E05013010,1.9
E05013011,1.5
E05013012,1.4
E05013013,1.4
E05013014,1.5
E05013015,1.5
E05013016,1.5
E05013017,1.6
E05010857,1
E05010858,1.3
E05010859,1.2
E05010860,1.8
E05010861,3.2
E05010862,4.3
E05010863,0.8
E05010864,2.1
E05010865,0.8
E05010866,1.3
E05010867,0.8
E05010868,1.5
E05010869,1.7
E05010870,1.6
E05010871,1.2
E05010872,1.4
E05010873,1.5
E05010874,0.8
E05010875,2
E05010876,1.6
E05010877,1.2
E05010878,1.7
E05010879,1.3
E05010880,2.7
E05010881,2.2
E05010882,2
E05010883,1.5
E05010884,1
E05001341,1.6
E05001342,2.4
E05001343,2.9
E05001344,2.7
E05001345,3.2
E05001346,2.8
E05001347,4.1
E05001348,1.9
E05001349,3.3
E05001350,2.3
E05001351,3
E05001352,2.8
E05001353,1.8
E05001354,1.6
E05001355,3.6
E05001356,3.2
E05001357,2.5
E05001358,2.8
E05001359,3
E05001360,2.1
E05001361,2
E05001362,2.5
E05001363,2.5
E05001364,2.2
E05001365,2.4
E05001366,1.7
E05001367,2.8
E05001368,2.2
E05001369,4.1
E05001370,1.9
E05001371,3
E05001372,7.9
E05001373,2.3
E05001374,2.9
E05001375,2
E05001376,1.8
E05001377,5.4
E05001378,2.7
E05001379,2.6
E05001380,3.1
E05001381,2.1
E05001382,6.1
E05001383,2
E05001384,2.7
E05001385,4.1
E05001386,3.5
E05001387,2.8
E05001389,2.1
E05001390,2.5
E05001391,2.3
E05001392,1.9
E05001393,2.5
E05001396,2.8
E05001397,3.1
E05001398,2.2
E05001399,2.1
E05001400,2.8
E05001401,2.8
E05001402,2.9
E05001403,2.5
E05001405,4.6
E05001407,1.7
E05001408,1.9
E05001409,1.7
E05001410,3.2
E05008558,2.1
E05008559,4.4
E05008560,2.5
E05008561,2.4
E05008562,3.3
E05011384,1.4
E05011385,3.4
E05011387,2.2
E05011388,4.2
E05011389,2
E05011390,2.7
E05011391,2.3
E05011394,3.6
E05011395,1.6
E05011396,3.3
E05011397,2.2
E05011399,4.4
E05011400,2.5
E05011401,2.5
E05011402,2.9
E05011403,4.6
E05011404,2.3
E05011405,1.2
E05011406,1.5
E05011407,2.5
E05011409,2.1
E05011410,1.5
E05011411,1.7
E05011413,1.9
E05011414,1.4
E05011547,1.3
E05011549,2.7
E05012647,3.6
E05012648,3
E05012841,1.8
E05012842,1.6
E05013830,1.8
E05013831,1.8
E05001444,3.1
E05001445,2.5
E05001446,1.9
E05001447,2.5
E05001448,2.2
E05001449,2.3
E05001450,2.1
E05001451,1.4
E05001452,2.2
E05001453,1.5
E05001454,1.5
E05001455,1.4
E05001456,2.3
E05001457,2
E05001458,1.8
E05001459,2.3
E05001460,2
E05001461,3.5
E05001462,1.7
E05001463,1.4
E05001464,1.3
E05001767,2.4
E05001768,1.2
E05001769,2.4
E05001770,2.4
E05001771,1.4
E05001772,2.1
E05001773,1.7
E05001774,1.2
E05001775,2.1
E05001776,1.7
E05001777,0.7
E05001778,2.6
E05001779,1.1
E05001780,2.6
E05001781,1.2
E05001782,1.9
E05001783,1.5
E05010458,2.1
E05010459,1.6
E05010460,2
E05010461,2
E05010462,1.7
E05010463,3.3
E05010464,1.4
E05010465,2
E05010466,2.5
